edge_id,source_id,target_id,edge_type,score,evidence,method,confidence
e:vg:gwas:variant:APOE:gene:ENSG00000130203,variant:APOE,gene:ENSG00000130203,variant_gene,0.5051633986661914,gwas,,
e:vg:gwas:variant:chr15:52443375:gene:ENSG00000069966,variant:chr15:52443375,gene:ENSG00000069966,variant_gene,0.1681919163520225,gwas,,
e:vg:gwas:variant:chr16:87690482:gene:ENSG00000154118,variant:chr16:87690482,gene:ENSG00000154118,variant_gene,0.1899656668112006,gwas,,
e:vg:gwas:variant:chr17:61538148:gene:ENSG00000159640,variant:chr17:61538148,gene:ENSG00000159640,variant_gene,0.2174292915093446,gwas,,
e:vg:gwas:variant:chr1:155733245:gene:ENSG00000116580,variant:chr1:155733245,gene:ENSG00000116580,variant_gene,0.17670099985546603,gwas,,
e:vg:gwas:variant:chr21:43678066:gene:ENSG00000160179,variant:chr21:43678066,gene:ENSG00000160179,variant_gene,0.1718300653328581,gwas,,
e:vg:gwas:variant:chr21:43693789:gene:ENSG00000160179,variant:chr21:43693789,gene:ENSG00000160179,variant_gene,0.1718300653328581,gwas,,
e:vg:gwas:variant:chr22:45354131:gene:ENSG00000056487,variant:chr22:45354131,gene:ENSG00000056487,variant_gene,0.2566323334778673,gwas,,
e:vg:gwas:variant:chr2:173336636:gene:ENSG00000091409,variant:chr2:173336636,gene:ENSG00000091409,variant_gene,0.2073949583205452,gwas,,
e:vg:gwas:variant:chr2:228891013:gene:ENSG00000153820,variant:chr2:228891013,gene:ENSG00000153820,variant_gene,0.17406162498721187,gwas,,
e:vg:gwas:variant:chr2:55470453:gene:ENSG00000085760,variant:chr2:55470453,gene:ENSG00000085760,variant_gene,0.1681919163520225,gwas,,
e:vg:gwas:variant:chr4:185384861:gene:ENSG00000168310,variant:chr4:185384861,gene:ENSG00000168310,variant_gene,0.20152524968535582,gwas,,
e:vg:gwas:variant:chr8:3777515:gene:ENSG00000183117,variant:chr8:3777515,gene:ENSG00000183117,variant_gene,0.17406162498721187,gwas,,
e:vg:gwas:variant:rs10018288:gene:ENSG00000248197,variant:rs10018288,gene:ENSG00000248197,variant_gene,0.17993133362240124,gwas,,
e:vg:gwas:variant:rs10018288:gene:MGC45800,variant:rs10018288,gene:MGC45800,variant_gene,0.17993133362240124,gwas,,
e:vg:gwas:variant:rs10098778:gene:ENSG00000156170,variant:rs10098778,gene:ENSG00000156170,variant_gene,0.2566323334778673,gwas,,
e:vg:gwas:variant:rs10098778:gene:ENSG00000164938,variant:rs10098778,gene:ENSG00000164938,variant_gene,0.2566323334778673,gwas,,
e:vg:gwas:variant:rs10101195:gene:ENSG00000154328,variant:rs10101195,gene:ENSG00000154328,variant_gene,0.2,gwas,,
e:vg:l2g:variant:rs10119:gene:ENSG00000130203,variant:rs10119,gene:ENSG00000130203,variant_gene,0.12822459638118744,l2g,,
e:vg:l2g:variant:rs10119:gene:ENSG00000130204,variant:rs10119,gene:ENSG00000130204,variant_gene,0.26775410771369934,l2g,,
e:vg:gwas:variant:rs10207628:gene:ENSG00000136717,variant:rs10207628,gene:ENSG00000136717,variant_gene,0.2,gwas,,
e:vg:gwas:variant:rs10219670:gene:ENSG00000074590,variant:rs10219670,gene:ENSG00000074590,variant_gene,0.17993133362240124,gwas,,
e:vg:gwas:variant:rs10219670:gene:ENSG00000235162,variant:rs10219670,gene:ENSG00000235162,variant_gene,0.17993133362240124,gwas,,
e:vg:l2g:variant:rs1023546743:gene:ENSG00000174672,variant:rs1023546743,gene:ENSG00000174672,variant_gene,0.48168429732322693,l2g,,
e:vg:gwas:variant:rs10265814:gene:ENSG00000146904,variant:rs10265814,gene:ENSG00000146904,variant_gene,0.31742929150934457,gwas,,
e:vg:l2g:variant:rs10265814:gene:ENSG00000146904,variant:rs10265814,gene:ENSG00000146904,variant_gene,0.43217676877975464,l2g,,
e:vg:l2g:variant:rs10270490:gene:ENSG00000155849,variant:rs10270490,gene:ENSG00000155849,variant_gene,0.33601614832878113,l2g,,
e:vg:gwas:variant:rs10273775:gene:ENSG00000174469,variant:rs10273775,gene:ENSG00000174469,variant_gene,0.1681919163520225,gwas,,
e:vg:l2g:variant:rs1039886548:gene:ENSG00000160299,variant:rs1039886548,gene:ENSG00000160299,variant_gene,0.5695146322250366,l2g,,
e:vg:gwas:variant:rs10401176:gene:ENSG00000069399,variant:rs10401176,gene:ENSG00000069399,variant_gene,0.3840959581760112,gwas,,
e:vg:gwas:variant:rs10401176:gene:ENSG00000073008,variant:rs10401176,gene:ENSG00000073008,variant_gene,0.3840959581760112,gwas,,
e:vg:gwas:variant:rs10401176:gene:ENSG00000186567,variant:rs10401176,gene:ENSG00000186567,variant_gene,0.3840959581760112,gwas,,
